anime_id,title,source,rating,score,scored_by,premiered,studio
11013,inu x boku ss,manga,pg-13 - teens 13 or older,7.63,139250,winter 2012,david production
2104,seto no hanayome,manga,pg-13 - teens 13 or older,7.89,91206,spring 2007,gonzo
5262,shugo chara!! doki,manga,pg - children,7.55,37129,fall 2008,satelight
721,princess tutu,original,pg-13 - teens 13 or older,8.21,36501,summer 2002,hal film maker
12365,bakuman. 3rd season,manga,pg-13 - teens 13 or older,8.67,107767,fall 2012,j.c.staff
6586,yume-iro pâtissière,manga,g - all ages,8.03,21618,fall 2009,"studio pierrot, studio hibari"
178,ultra maniac,manga,g - all ages,7.26,9663,spring 2003,production reed
2787,shakugan no shana ii (second),light novel,pg-13 - teens 13 or older,7.72,126085,fall 2007,j.c.staff
4477,nodame cantabile: paris-hen,manga,pg-13 - teens 13 or older,8.24,53908,fall 2008,j.c.staff
853,ouran koukou host club,manga,pg-13 - teens 13 or older,8.34,335137,spring 2006,bones
4814,junjou romantica 2,manga,pg-13 - teens 13 or older,8.15,66565,fall 2008,studio deen
7054,kaichou wa maid-sama!,manga,pg-13 - teens 13 or older,8.2,315130,spring 2010,j.c.staff
14227,tonari no kaibutsu-kun,manga,pg-13 - teens 13 or older,7.71,281448,fall 2012,brain&#039
269,bleach,manga,pg-13 - teens 13 or older,7.9,433097,fall 2004,studio pierrot
59,chobits,manga,pg-13 - teens 13 or older,7.53,175388,spring 2002,madhouse
6045,kimi ni todoke,manga,pg-13 - teens 13 or older,8.13,212710,fall 2009,production i.g
1735,naruto: shippuuden,manga,pg-13 - teens 13 or older,8.18,385179,winter 2007,studio pierrot
4224,toradora!,light novel,pg-13 - teens 13 or older,8.39,557898,fall 2008,j.c.staff
10030,bakuman. 2nd season,manga,pg-13 - teens 13 or older,8.49,122090,fall 2011,j.c.staff
74,gakuen alice,manga,g - all ages,7.77,33244,fall 2004,group tac
4722,skip beat!,manga,pg-13 - teens 13 or older,8.24,90699,fall 2008,hal film maker
14397,chihayafuru 2,manga,pg-13 - teens 13 or older,8.47,62720,winter 2013,madhouse
1557,shounen onmyouji,light novel,pg-13 - teens 13 or older,7.68,14619,fall 2006,studio deen
10800,chihayafuru,manga,pg-13 - teens 13 or older,8.29,89081,fall 2011,madhouse
3731,itazura na kiss,manga,pg-13 - teens 13 or older,7.7,91187,spring 2008,tms entertainment
9513,beelzebub,manga,pg-13 - teens 13 or older,8.02,136105,winter 2011,pierrot plus
5835,hanasakeru seishounen,manga,pg-13 - teens 13 or older,7.87,16772,spring 2009,studio pierrot
9863,sket dance,manga,pg-13 - teens 13 or older,8.33,44132,spring 2011,tatsunoko production
966,crayon shin-chan,manga,pg - children,7.73,17683,spring 1992,shin-ei animation
120,fruits basket,manga,pg-13 - teens 13 or older,7.77,167968,s anime grand prix award.,funimation
957,saiunkoku monogatari,light novel,pg-13 - teens 13 or older,8.04,23467,spring 2006,madhouse
21,one piece,manga,pg-13 - teens 13 or older,8.54,423868,fall 1999,toei animation
1974,glass no kamen (2005),manga,g - all ages,8.18,7348,spring 2005,tokyo movie shinsha
1914,saiunkoku monogatari 2nd season,light novel,pg-13 - teens 13 or older,8.16,11924,spring 2007,madhouse
249,inuyasha,manga,pg-13 - teens 13 or older,7.9,181978,fall 2000,sunrise
6645,chu-bra!!,manga,pg-13 - teens 13 or older,6.3,16688,winter 2010,zexcs
5690,nodame cantabile finale,manga,pg-13 - teens 13 or older,8.34,47983,winter 2010,j.c.staff
1571,ghost hunt,novel,pg-13 - teens 13 or older,7.92,69224,fall 2006,j.c.staff
11759,accel world,light novel,pg-13 - teens 13 or older,7.53,236083,spring 2012,sunrise
7674,bakuman.,manga,pg-13 - teens 13 or older,8.32,167429,fall 2010,j.c.staff
1698,nodame cantabile,manga,pg-13 - teens 13 or older,8.41,87363,winter 2007,j.c.staff
14713,kamisama hajimemashita,manga,pg-13 - teens 13 or older,8.14,138954,fall 2012,tms entertainment
232,cardcaptor sakura,manga,pg - children,8.21,121898,spring 1998,madhouse
233,daa! daa! daa!,manga,g - all ages,7.78,6598,spring 2000,j.c.staff
9656,kimi ni todoke 2nd season,manga,pg-13 - teens 13 or older,8.12,133548,winter 2011,production i.g
2564,code-e,original,g - all ages,6.49,5866,summer 2007,studio deen
3092,junjou romantica,manga,pg-13 - teens 13 or older,7.99,86423,spring 2008,studio deen
11547,sengoku☆paradise kiwami,unknown,pg-13 - teens 13 or older,6.2,609,fall 2011,"milky cartoon, lmd"
7518,boku wa kuma,original,g - all ages,5.79,690,unknown,
7605,parasol henbei,unknown,pg - children,6.39,94,fall 1989,
9389,ginga hyouryuu vifam: kieta 12-nin,unknown,g - all ages,6.29,102,unknown,sunrise
9998,chuuhai lemon: love 30s - ame ni nurete mo,unknown,pg-13 - teens 13 or older,6,28,unknown,
153,juuni kokuki,novel,pg-13 - teens 13 or older,8.13,28791,s light novel series of the same title.,"media blasters, tokyopop"
27417,diabolik lovers ova,visual novel,pg-13 - teens 13 or older,6.04,9290,unknown,"production i.g, zexcs"
13247,lupin iii: lupin ikka seizoroi,unknown,pg-13 - teens 13 or older,6.87,676,unknown,
33398,neko konogoro,manga,none,3.44,18,summer 2016,kachidoki studio
1051,ao no 6-gou,manga,pg-13 - teens 13 or older,7.14,16149,unknown,gonzo
12447,ben-to picture drama,light novel,pg-13 - teens 13 or older,6.15,2806,unknown,david production
3294,gasshin sentai mechander robo,unknown,pg-13 - teens 13 or older,6.17,79,spring 1977,
1381,seikai no monshou special,light novel,pg-13 - teens 13 or older,7.35,1050,unknown,sunrise
8022,tegamibachi gakuen,original,pg-13 - teens 13 or older,7.42,1911,unknown,studio pierrot
32666,oniku daisuki! zeushi-kun: suteki na hamburger,original,g - all ages,4.32,22,unknown,dle
33775,soul buster,manga,pg-13 - teens 13 or older,5.91,4687,fall 2016,studio pierrot
20667,mobile suit gundam: zeonic front - indignation of zeon.,unknown,pg-13 - teens 13 or older,5.86,315,unknown,sunrise
37447,karakuri circus,manga,none,0,0,unknown,studio voln
35277,nanumu no ie,other,pg - children,4.86,7,unknown,
32747,fake style ii,music,pg - children,5.85,103,unknown,
5235,live on cardliver kakeru,manga,pg - children,6.86,97,fall 2008,tms entertainment
8154,gegege no kitarou: saikyou youkai gundan! nippon jouriku!!,unknown,g - all ages,6.17,60,unknown,toei animation
16251,shinkai no kantai: submarine 707,manga,none,5.73,120,unknown,"j.c.staff, toei animation"
6777,densha kamo shirenai,music,g - all ages,5.62,395,unknown,
35594,ylion to callysia,original,none,5.86,7,unknown,
29765,metropolis (2009),unknown,g - all ages,6.26,129,unknown,
32561,hai to gensou no grimgar special,light novel,pg-13 - teens 13 or older,6.65,16293,unknown,a-1 pictures
24275,medamayaki no kimi itsu tsubusu?,manga,g - all ages,5.92,161,unknown,fanworks
29363,watashi no ashinaga ojisan specials,unknown,g - all ages,6.41,37,unknown,nippon animation
3669,duel masters movie 1: yami no shiro no maryuuou,original,pg - children,5.96,333,unknown,
5036,hurricane live! 2033,unknown,pg-13 - teens 13 or older,6.73,368,unknown,
812,chikyuu shoujo arjuna,original,pg-13 - teens 13 or older,6.95,8111,winter 2001,satelight
19849,peeping life 5.0ch,original,g - all ages,5.51,59,unknown,
7791,k-on!!,4-koma manga,pg-13 - teens 13 or older,8.14,178001,spring 2010,kyoto animation
8726,soredemo machi wa mawatteiru,manga,pg-13 - teens 13 or older,7.47,14763,fall 2010,shaft
20229,makkuro na obentou,unknown,g - all ages,7.89,9,unknown,
33155,code geass: hangyaku no lelouch picture drama - hajimari no zenya,original,pg-13 - teens 13 or older,6.24,485,unknown,
10869,scan2go,unknown,g - all ages,6.23,392,summer 2010,synergysp
12589,3 choume no tama: onegai! momo-chan wo sagashite!!,unknown,g - all ages,6.14,73,unknown,
15813,majokko shimai no yoyo to nene,manga,g - all ages,7.57,4073,unknown,ufotable
36951,yuu☆yuu☆hakusho special,manga,pg-13 - teens 13 or older,0,0,unknown,studio pierrot
33462,bernard-jou iwaku.,manga,pg-13 - teens 13 or older,6.03,5918,fall 2016,creators in pack
12569,himitsu no akko-chan (movie),unknown,g - all ages,6,92,unknown,toei animation
34908,calihara no uta,original,g - all ages,5.56,64,unknown,
1586,aoi umi no tristia,visual novel,pg - children,5.81,1221,unknown,ufotable
20057,space☆dandy,original,pg-13 - teens 13 or older,7.88,75431,winter 2014,bones
18637,tetsuwan atom: ivan no wakusei - robot to ningen no yuujou,unknown,g - all ages,6.3,121,unknown,
6828,ohi-sama to kaeru,original,g - all ages,4.2,244,unknown,
30347,nanatsu no taizai ova,manga,pg-13 - teens 13 or older,7.77,34252,unknown,a-1 pictures
14249,ribbon no kishi (1999),unknown,g - all ages,6.14,54,unknown,
18893,aoki hagane no arpeggio: ars nova,manga,pg-13 - teens 13 or older,7.5,48992,fall 2013,sanzigen
35334,classicaloid 2nd season,original,pg-13 - teens 13 or older,6.47,855,fall 2017,sunrise
3164,ichigo ichie: koibana tomobana,unknown,g - all ages,6.81,48,fall 2007,
2199,chirin no suzu,picture book,pg-13 - teens 13 or older,7.17,2361,unknown,sanrio
515,hajimari no boukensha-tachi: legend of crystania,unknown,pg-13 - teens 13 or older,6.12,1466,unknown,triangle staff
33907,magical music train,music,g - all ages,4.7,75,unknown,
238,rekka no honoo,manga,pg-13 - teens 13 or older,7.42,18254,summer 1997,studio pierrot
5990,cosmic fantasy: ginga mehyou no wana,game,pg-13 - teens 13 or older,5.63,135,unknown,
27989,hibike! euphonium,novel,pg-13 - teens 13 or older,8.02,94024,spring 2015,kyoto animation
36838,gintama.: shirogane no tamashii-hen,manga,pg-13 - teens 13 or older,8.85,14981,winter 2018,bandai namco pictures
1200,gun-dou musashi,original,pg-13 - teens 13 or older,6.06,476,spring 2006,acc production
32644,yaseruyagi,original,g - all ages,4.03,36,unknown,
2769,galactic patrol lensman,unknown,pg-13 - teens 13 or older,6.49,113,fall 1984,madhouse
24031,denki-gai no honya-san,manga,pg-13 - teens 13 or older,7.27,34590,fall 2014,shin-ei animation
37421,maxvalu kyushu,original,g - all ages,5,16,unknown,
3975,uchi no 3 shimai,other,g - all ages,6.66,38,spring 2008,"toei animation, daewon media"
22839,cross road,original,g - all ages,7.5,18944,unknown,
10935,hourou musuko specials,manga,pg-13 - teens 13 or older,7.7,2401,unknown,aic classic
37711,koi to uso ova,manga,pg-13 - teens 13 or older,0,1,unknown,lidenfilms
9880,esper mami: hoshizora no dancing doll,unknown,g - all ages,6.16,86,unknown,shin-ei animation
37435,carol & tuesday,original,none,0,0,spring 2019,bones
14007,"akai shouzou: char, soshite frontal e",unknown,pg-13 - teens 13 or older,6.24,220,unknown,sunrise
17147,gakkatsu! 2nd season,unknown,g - all ages,6.5,308,winter 2013,fanworks
33885,hane (2016),music,g - all ages,5.68,106,unknown,
3232,bannou bunka neko-musume specials,unknown,pg-13 - teens 13 or older,6.61,433,unknown,production reed
10250,ultra b,manga,g - all ages,6.05,50,spring 1987,shin-ei animation
15771,saint☆oniisan (movie),manga,pg-13 - teens 13 or older,7.94,20831,unknown,a-1 pictures
3675,andromeda stories,manga,pg-13 - teens 13 or older,5.97,318,unknown,toei animation
1396,future gpx cyber formula: early days renewal,unknown,pg-13 - teens 13 or older,6.48,88,unknown,sunrise
2687,gokuu no daibouken,unknown,g - all ages,6.49,83,winter 1967,mushi production
29543,kitty to daniel no suteki na christmas,unknown,g - all ages,5.91,11,unknown,
34350,alice to zouroku,manga,pg-13 - teens 13 or older,7.2,27215,spring 2017,j.c.staff
36982,micchiri neko,web manga,g - all ages,6.84,1228,winter 2018,helo.inc
534,slayers,light novel,pg-13 - teens 13 or older,7.85,42588,spring 1995,e&amp
32032,seikaisuru kado,original,pg-13 - teens 13 or older,7.01,25496,spring 2017,toei animation
30694,dragon ball super,manga,pg-13 - teens 13 or older,7.78,102780,summer 2015,toei animation
